REGION,SPDES ID,SIZE,FACILITY NAME,ADDRESS,FACILITY CITY,ZIP,COUNTY,CNMP ACRES,full address,latitude,longitude
6,NYA00E391,LARGE,"ENTWISTLE Bros, Farm, LLC",105 BIRDSEYE ROAD,FRANKFORT,13340,HERKIMER,3716,"105 BIRDSEYE ROAD, FRANKFORT, New York, 13340",42.9778387,-75.1462847
6,NYA00E493,MEDIUM,TIMMERMAN FARMS,729 SNELLS BUSH ROAD,LITTLE FALLS,13365,HERKIMER,582,"729 SNELLS BUSH ROAD, LITTLE FALLS, New York, 13365",43.0300579,-74.758208
6,NYA00E389,MEDIUM,"SPRAGUE FARM, LLC.",342 GROS ROAD,FORT PLAIN,13339,HERKIMER,1141,"342 GROS ROAD, FORT PLAIN, New York, 13339",42.892981,-74.763481
6,NYA00E023,LARGE,INSIGHT DAIRY,682 NEWVILLE ROAD,LITTLE FALLS,13365,HERKIMER,2517,"682 NEWVILLE ROAD, LITTLE FALLS, New York, 13365",42.9789751,-74.8321586
6,NYA00E430,LARGE,BUTTERVILLE FARMS,11279 COUNTY ROUTE 75,ADAMS,13605,JEFFERSON,3300,"11279 COUNTY ROUTE 75, ADAMS, New York, 13605",43.8092321,-76.0240892
6,NYA00E053,LARGE,DOUBLEDALE FARM LLC,5601 NYS RT. 289,MANNSVILLE,13661,JEFFERSON,1410,"5601 NYS RT. 289, MANNSVILLE, New York, 13661",43.7478085,-76.1303447
6,NYA00E085,LARGE,MORNING STAR FARMS,13143 COUNTY RTE. 75,ADAMS,13605,JEFFERSON,2200,"13143 COUNTY RTE. 75, ADAMS, New York, 13605",43.8092321,-76.0240892
6,NYA00E052,MEDIUM,BELLE WOOD FARMS,7592 COUNTY ROUTE 75,WOODVILLE,13650,JEFFERSON,679,"7592 COUNTY ROUTE 75, WOODVILLE, New York, 13650",43.7545112,-76.165204
6,NYA00E051,LARGE,DEER RUN DAIRY,12065 BISHOP STREET,ADAMS,13605,JEFFERSON,2713,"12065 BISHOP STREET, ADAMS, New York, 13605",43.8444118,-76.1387593
6,NYA00E431,LARGE,BIRCH CREEK FARM,9133 COUNTY ROUTE 79,HENDERSON,13650,JEFFERSON,2000,"9133 COUNTY ROUTE 79, HENDERSON, New York, 13650",43.791464,-76.196566
6,NYA00E040,LARGE,MURCREST FARMS,31721 NYS ROUTE 12,COPENHAGEN,13626,JEFFERSON,2730,"31721 NYS ROUTE 12, COPENHAGEN, New York, 13626",43.91192,-75.7374069
6,NYA00E453,LARGE,NORTH HARBOR DAIRY,14471 COUNTY ROUTE 145,SACKETS HARBOR,13685,JEFFERSON,7315,"14471 COUNTY ROUTE 145, SACKETS HARBOR, New York, 13685",43.9047365,-76.0837092
6,NYA00E291,MEDIUM,HANCOR HOLSTEIN'S II,31911 STATE ROUTE 37,EVANS MILLS,13637,JEFFERSON,1152,"31911 STATE ROUTE 37, EVANS MILLS, New York, 13637",44.1323158,-75.8531656
6,NYA00E433,MEDIUM,EASTMAN DAIRY FARM,10514 STATE ROUTE. 193,ELLISBURG,13636,JEFFERSON,801,"10514 STATE ROUTE. 193, ELLISBURG, New York, 13636",43.7457296,-76.1632924
6,NYA00E292,MEDIUM,HY-LIGHT FARMS,13723 COUNTY ROUTE 75,ADAMS,13605,JEFFERSON,1197,"13723 COUNTY ROUTE 75, ADAMS, New York, 13605",43.8092321,-76.0240892
6,NYA00E427,MEDIUM,GRIMSHAW DAIRY FARM,9922 COUNTY ROUTE 152,ADAMS,13605,JEFFERSON,866,"9922 COUNTY ROUTE 152, ADAMS, New York, 13605",42.0112025,-74.7733005
6,NYA00E284,LARGE,HILLCREST FARMS,6763 COUNTY ROUTE 78,WOODVILLE,13650,JEFFERSON,2187,"6763 COUNTY ROUTE 78, WOODVILLE, New York, 13650",43.7545112,-76.165204
